task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
task_8,fake_brisbane,success,,2.2544849469314454,10.0,10.0004096,7.745515053068555,7.745924653068554,0.9890548353295385,0.0004096,0
task_13,fake_hanoi,success,,1.7666578298693003,10.0,10.000768,8.2333421701307,8.2341101701307,0.9920279440699441,0.000768,0
task_19,fake_hanoi,success,,2.696597009867846,10.000768,10.001536000000002,7.304170990132155,7.304938990132156,0.9920279440699441,0.000768,0
task_7,fake_brisbane,success,,3.5564666167311074,20.0,20.0004096,16.443533383268893,16.443942983268894,0.9890548353295385,0.0004096,0
task_9,fake_hanoi,success,,10.72053333254262,20.0,20.000768,9.27946666745738,9.28023466745738,0.9920279440699441,0.000768,0
task_3,fake_brisbane,success,,12.248279896539755,20.0004096,20.000819200000002,7.7521297034602465,7.752539303460248,0.9890548353295385,0.0004096,0
task_15,fake_brisbane,success,,18.7963978102802,30.0,30.0004096,11.203602189719799,11.2040117897198,0.9890548353295385,0.0004096,0
task_6,fake_hanoi,success,,13.646699624781366,30.0,30.000768,16.353300375218634,16.354068375218635,0.9920279440699441,0.000768,0
task_11,fake_hanoi,success,,23.775989783038202,30.000768,30.001536,6.2247782169617984,6.225546216961799,0.9920279440699441,0.000768,0
task_17,fake_brisbane,success,,26.16655614476011,40.0,40.0004096,13.833443855239889,13.833853455239886,0.9890548353295385,0.0004096,0
task_5,fake_hanoi,success,,26.1948952373439,40.0,40.000768,13.8051047626561,13.8058727626561,0.9920279440699441,0.000768,0
task_10,fake_brisbane,success,,27.726979141312853,40.0004096,40.000819199999995,12.273430458687145,12.273840058687142,0.9890548353295385,0.0004096,0
task_14,fake_brisbane,success,,36.994083558207095,50.0,50.0004096,13.005916441792905,13.006326041792903,0.9890548353295385,0.0004096,0
task_12,fake_hanoi,success,,34.86158665205911,50.0,50.000768,15.13841334794089,15.139181347940891,0.9920279440699441,0.000768,0
task_4,fake_hanoi,success,,39.33372828099348,50.000768,50.001536,10.667039719006517,10.667807719006518,0.9920279440699441,0.000768,0
task_2,fake_brisbane,success,,39.99803193781485,60.0,60.0004096,20.00196806218515,20.002377662185147,0.9890548353295385,0.0004096,0
task_16,fake_hanoi,success,,40.132347178241595,60.0,60.000768,19.867652821758405,19.868420821758406,0.9920279440699441,0.000768,0
task_18,fake_brisbane,success,,43.54991368273578,60.0004096,60.000819199999995,16.45049591726422,16.450905517264218,0.9890548353295385,0.0004096,0
task_1,fake_brisbane,success,,49.961274926836246,70.0,70.0004096,20.038725073163754,20.03913467316375,0.9890548353295385,0.0004096,0
task_0,fake_hanoi,success,,45.30203539881589,70.0,70.000768,24.69796460118411,24.698732601184105,0.9920279440699441,0.000768,0
